S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
5,9,4,1,6,9,3,8,2,6,1,8,2,0,0,0,"['5', '9', '4']","['5', '9', '4', '1']","['5', '9', '4', '1', '6']","['5', '9', '4', '1', '6', '9']","['5', '9', '4', '1', '6', '9', '3']","['5', '9', '4', '1', '6', '9', '3', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8', '2']",None,None,None,,,,,0,10,10,10,,,,,,594169,,,,,,6,"['5', '9', '4', '1', '6', '9']",0,"[1.8973462090361863, 2.3140295420307666, 3.8595415418967605, 4.2600118750706315, 4.792494291905314, 5.323832500027493, 6.098015958908945]",1,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
3,7,2,5,8,4,1,9,6,3,7,1,4,8,0,0,"['3', '7', '2']","['3', '7', '2', '5']","['3', '7', '2', '5', '8']","['3', '7', '2', '5', '8', '4']","['3', '7', '2', '5', '8', '4', '1']","['3', '7', '2', '5', '8', '4', '1', '9']","['3', '7', '2', '5', '8', '4', '1', '9', '6']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4', '8']",None,None,,,,,0,11,11,11,,,,,,3725481,,,,,,7,"['3', '7', '2', '5', '4', '8', '1']",0,"[1.6649181249085814, 2.1382037908770144, 3.268482791027054, 3.605205958010629, 4.298572874860838, 4.705425499938428, 5.4838194160256535, 6.498133957851678]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
9,4,8,3,7,1,5,2,6,3,9,1,6,2,7,0,"['9', '4', '8']","['9', '4', '8', '3']","['9', '4', '8', '3', '7']","['9', '4', '8', '3', '7', '1']","['9', '4', '8', '3', '7', '1', '5']","['9', '4', '8', '3', '7', '1', '5', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2', '7']",None,,,,,0,12,12,12,,,,,,94871,,,,,,7,"['9', '4', '8', '7', '1']",0,"[3.1538877920247614, 3.6499542919918895, 4.039709875127301, 5.231304334010929, 5.931819417048246, 6.8318497920408845]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
1,5,9,4,7,3,8,2,6,2,7,3,6,1,5,8,"['1', '5', '9']","['1', '5', '9', '4']","['1', '5', '9', '4', '7']","['1', '5', '9', '4', '7', '3']","['1', '5', '9', '4', '7', '3', '8']","['1', '5', '9', '4', '7', '3', '8', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5', '8']",,,,,0,13,13,13,,,,,,199473,,,,,,6,"['1', '9', '9', '4', '7', '3']",0,"[1.0843563340604305, 1.7483940001111478, 2.4574358339887112, 3.0234592920169234, 3.8711187089793384, 4.233109417138621, 5.035245709121227]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,14,14,14,,,,,,159473,,,,,,6,"['1', '5', '9', '4', '7', '3']",0,"[0.9976443331688643, 1.4777163329999894, 1.9481179581489414, 2.475135707994923, 4.232863000128418, 4.594137167092413, 5.396436125040054]",0,,,,,,,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"['9', '5', '1']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,0,0,0,,951,,,,,,,,,,1,6.1000000000000005,3,"['9', '5', '1']",0,"[2.368533874861896, 2.724694874836132, 2.979213124839589, 4.350526708876714]",,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
4,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,"['3', '7', '4']","['8', '3', '7', '4']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,1,1,1,,8374,,,,,,,,,,1,,4,"['8', '3', '7', '4']",0,"[4.084800541168079, 4.613857041113079, 5.304596833186224, 5.617176000028849, 6.297595500014722]",,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
2,6,1,7,3,0,0,0,0,0,0,0,0,0,0,0,"['1', '6', '2']","['7', '1', '6', '2']","['3', '7', '1', '6', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,2,2,2,,7162,,,,,,,,,,0,,5,"['7', '1', '6', '2']",0,"[2.629688125103712, 3.0635214161593467, 5.000774166081101, 5.336734000127763, 6.152178000193089]",,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
6,1,5,9,4,8,0,0,0,0,0,0,0,0,0,0,"['5', '1', '6']","['9', '5', '1', '6']","['4', '9', '5', '1', '6']","['8', '4', '9', '5', '1', '6']",None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,3,3,3,,9516,,,,,,,,,,0,,5,"['9', '5', '1', '6']",0,"[4.600539916893467, 5.010408041998744, 5.900668709073216, 6.131139958975837, 7.190615958999842]",,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
3,7,1,5,2,6,9,0,0,0,0,0,0,0,0,0,"['1', '7', '3']","['5', '1', '7', '3']","['2', '5', '1', '7', '3']","['6', '2', '5', '1', '7', '3']","['9', '6', '2', '5', '1', '7', '3']",None,None,None,None,None,None,None,None,None,,,,,,,,,0,4,4,4,,5173,,,,,,,,,,1,,4,"['5', '1', '7', '3']",0,"[3.4563757500145584, 3.9061546670272946, 4.3982878748793155, 4.758483791956678, 5.3970409168396145]",,SuryGlez,001,2022-10-27_11h10.01.881,DS_Adapt1L,2022.2.4,None,
