S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
5,9,4,1,6,9,3,8,2,6,1,8,2,0,0,0,"['5', '9', '4']","['5', '9', '4', '1']","['5', '9', '4', '1', '6']","['5', '9', '4', '1', '6', '9']","['5', '9', '4', '1', '6', '9', '3']","['5', '9', '4', '1', '6', '9', '3', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8', '2']",None,None,None,,,,,0,10,10,10,,,,,,594169,,,,,,6,"['5', '9', '4', '1', '6', '9']",0,"[1.588499084002251, 2.0768091259997163, 2.6362596260005375, 3.199487293000857, 3.6498082510006498, 4.150966376000724, 8.337158709000505]",1,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
3,7,2,5,8,4,1,9,6,3,7,1,4,8,0,0,"['3', '7', '2']","['3', '7', '2', '5']","['3', '7', '2', '5', '8']","['3', '7', '2', '5', '8', '4']","['3', '7', '2', '5', '8', '4', '1']","['3', '7', '2', '5', '8', '4', '1', '9']","['3', '7', '2', '5', '8', '4', '1', '9', '6']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4', '8']",None,None,,,,,0,11,11,11,,,,,,3725841,,,,,,7,"['3', '7', '2', '5', '8', '4', '1']",0,"[1.8498354170042148, 2.3322322920030274, 2.9215430000040215, 3.348999542002275, 3.79409895900244, 4.223644000001514, 4.327647417001572, 16.713323459003732]",1,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
9,4,8,3,7,1,5,2,6,3,9,1,6,2,7,0,"['9', '4', '8']","['9', '4', '8', '3']","['9', '4', '8', '3', '7']","['9', '4', '8', '3', '7', '1']","['9', '4', '8', '3', '7', '1', '5']","['9', '4', '8', '3', '7', '1', '5', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2', '7']",None,,,,,0,12,12,12,,,,,,9483172,,,,,,8,"['9', '4', '8', '3', '1', '7', '2']",0,"[4.400272834001953, 5.004305459002353, 5.589041000999714, 6.162298126000678, 16.52734629200131, 16.954807001002337, 17.290014084002905, 21.782161626000743]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
1,5,9,4,7,3,8,2,6,2,7,3,6,1,5,8,"['1', '5', '9']","['1', '5', '9', '4']","['1', '5', '9', '4', '7']","['1', '5', '9', '4', '7', '3']","['1', '5', '9', '4', '7', '3', '8']","['1', '5', '9', '4', '7', '3', '8', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5', '8']",,,,,0,13,13,13,,,,,,1749281,,,,,,8,"['1', '7', '4', '9', '2', '8', '1']",0,"[2.9617021670019312, 6.288818084001832, 6.798375959002442, 22.615381876003084, 23.372001959003683, 33.56014633400264, 33.950494751003134, 34.65554154200436]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,14,14,14,,,,,,154972,,,,,,7,"['1', '5', '4', '9', '7', '2']",0,"[4.043771626002126, 6.657775876003143, 6.909141959004046, 7.134042167002917, 13.246834459001548, 16.68645333400127, 17.200262584003212]",0,,,,,,,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"['9', '5', '1']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,0,0,0,,951,,,,,,,,,,1,6.166666666666667,3,"['9', '5', '1']",0,"[0.6823834590031765, 1.1043355010006053, 1.3232516260031844, 2.0553469590013265]",,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
4,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,"['3', '7', '4']","['8', '3', '7', '4']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,1,1,1,,8374,,,,,,,,,,1,,4,"['8', '3', '7', '4']",0,"[1.0078253760002553, 1.9174628340006166, 4.213522459001979, 4.582497293002234, 7.042706209002063]",,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
2,6,1,7,3,0,0,0,0,0,0,0,0,0,0,0,"['1', '6', '2']","['7', '1', '6', '2']","['3', '7', '1', '6', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,2,2,2,,3712,,,,,,,,,,0,,5,"['3', '7', '1', '2']",0,"[1.9984455010016973, 2.614816667002742, 13.870215376002307, 14.021168959003262, 14.947104792001483]",,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
6,1,5,9,4,8,0,0,0,0,0,0,0,0,0,0,"['5', '1', '6']","['9', '5', '1', '6']","['4', '9', '5', '1', '6']","['8', '4', '9', '5', '1', '6']",None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,3,3,3,,4952,,,,,,,,,,0,,5,"['4', '9', '5', '2']",0,"[2.182854334001604, 2.8757032499997877, 4.552995124999143, 8.31330862500181, 14.017843708999862]",,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
3,7,1,5,2,6,9,0,0,0,0,0,0,0,0,0,"['1', '7', '3']","['5', '1', '7', '3']","['2', '5', '1', '7', '3']","['6', '2', '5', '1', '7', '3']","['9', '6', '2', '5', '1', '7', '3']",None,None,None,None,None,None,None,None,None,,,,,,,,,0,4,4,4,,5173,,,,,,,,,,1,,4,"['5', '1', '7', '3']",0,"[2.0202540419995785, 2.8616012500024226, 4.8576226250006584, 5.315274667002086, 8.438266250002926]",,Dulce2,001,2022-11-05_14h06.44.952,DS_Adapt1L,2022.2.4,60.12612946794062,
