stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,T,space,,,,,,,,,0,31,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0385932499994,156.0385932499994,156.33829349999905,space,1,0.35770516600132396,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,E,space,,,,,,,,,0,32,32,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.03841691699927,157.03841691699927,157.33876741699896,space,1,0.278291041000557,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,H,space,,,,,,,,,0,33,33,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.03854720900017,158.03854720900017,158.33863341699907,space,1,0.31485241600057634,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,W,space,,,,,,,,,0,34,34,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.03848812499928,159.03848812499928,159.3387387089988,space,1,0.38436487400031183,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,X,none,,,,,,,,,0,35,35,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.03835904199877,160.03835904199877,160.33864829199956,space,0,0.2714769160011201,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,M,space,,,,,,,,,0,36,36,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.03881974999967,161.03881974999967,161.33885866699893,space,1,0.3152483330013638,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,I,space,,,,,,,,,0,37,37,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.03859866699895,162.03859866699895,162.3385507089988,space,1,0.33760733300005086,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,L,space,,,,,,,,,0,38,38,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.03875233399958,163.03875233399958,163.33872058399902,space,1,0.2982901250015857,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,V,space,,,,,,,,,0,39,39,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.03874025000005,164.03874025000005,164.33885233399997,space,1,0.3205483740021009,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,T,space,,,,,,,,,0,40,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.02227179199872,165.02227179199872,165.3219516249992,space,1,0.3377247910011647,166.02185937499962,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,K,space,,,,,,,,,0,41,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.02185937499962,166.02185937499962,166.32337658399956,space,1,0.432360624001376,167.02221462499983,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,X,none,,,,,,,,,0,42,42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.02221462499983,167.02221462499983,167.32212437499948,None,1,,168.02191787499942,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,L,space,,,,,,,,,0,43,43,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.02191787499942,168.02191787499942,168.3219337089995,space,1,0.3802544160025718,,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,X,none,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.02218254199943,169.02218254199943,169.32217825000043,None,1,,170.02195500000016,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,X,none,,,,,,,,,0,45,45,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.02195500000016,170.02195500000016,170.32192229199973,None,1,,171.02205508400039,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,A,space,,,,,,,,,0,46,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.02205508400039,171.02205508400039,171.32230454199998,space,1,0.3692502490011975,172.02233816700027,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,I,space,,,,,,,,,0,47,47,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.02233816700027,172.02233816700027,172.32230424999943,space,1,0.301631874001032,173.0221750419987,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,H,space,,,,,,,,,0,48,48,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0221750419987,173.0221750419987,173.32307987499917,space,1,0.28328162400066503,174.0221673750002,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,A,space,,,,,,,,,0,49,49,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0221673750002,174.0221673750002,174.32202495899946,space,1,0.3148711240010016,175.02203199999894,,,,,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.02203199999894,175.50598174999868,space,1.5830197499999485,Monica2,001,2022-11-03_17h16.24.398,Trial go no go,2022.2.4,59.79266903938077,
