stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,text_Feedback_Prac1.started,resp_trial_Prac1.rt,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
X,space,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,54.02707416699923,54.02707416699923,54.6267885840025,space,1,56.02721345900136,0.46267483300107415,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
X,space,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,56.72665670900096,56.72665670900096,57.32684391700241,space,1,58.726567583998985,0.5721748749965627,,,,,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.42707016699933,59.91006779199961,space,5.632073582997691,,,,,,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,N,none,,,,,,,0,0,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09209050000209,65.09209050000209,65.39390341699982,None,1,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,H,none,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.09413754200068,66.09413754200068,66.39393791700059,None,1,,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,X,space,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.09397616700153,67.09397616700153,67.39383445900239,space,1,0.37692041600166704,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,X,space,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.09358345900182,68.09358345900182,68.39380266700027,space,1,0.32270066699857125,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,X,space,,,,,,,0,4,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.09403129199927,69.09403129199927,69.39386591700168,space,1,0.31964279099702253,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,X,space,,,,,,,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.09367375000147,70.09367375000147,70.39393454200035,space,1,0.25712724899858586,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
,,X,space,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.09451941700172,71.09451941700172,71.39386641700185,space,1,0.3221502079977654,,,,,,,,,,,,,,,,Hiram2,001,2022-11-04_15h43.23.532,Trial go no go,2022.2.4,60.06598260146599,
