S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Seq4_tr.started,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,key_resp_5.started,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
5,9,4,1,6,9,3,8,2,6,1,8,2,0,0,0,"['5', '9', '4']","['5', '9', '4', '1']","['5', '9', '4', '1', '6']","['5', '9', '4', '1', '6', '9']","['5', '9', '4', '1', '6', '9', '3']","['5', '9', '4', '1', '6', '9', '3', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8', '2']",None,None,None,,,,,0,10,10,10,,,,,,594169,,,,,,6,"['5', '9', '4', '1', '6', '9']",0,"[1.5096976249988074, 2.448633667001559, 3.0880597499999567, 3.3818899580001016, 3.8620062500049244, 4.315323167000315, 4.857301500000176]",1,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
3,7,2,5,8,4,1,9,6,3,7,1,4,8,0,0,"['3', '7', '2']","['3', '7', '2', '5']","['3', '7', '2', '5', '8']","['3', '7', '2', '5', '8', '4']","['3', '7', '2', '5', '8', '4', '1']","['3', '7', '2', '5', '8', '4', '1', '9']","['3', '7', '2', '5', '8', '4', '1', '9', '6']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4', '8']",None,None,,,,,0,11,11,11,,,,,,3725481,,,,,,7,"['3', '7', '2', '5', '4', '8', '1']",0,"[1.2018245829967782, 1.84905274999619, 2.4215727080008946, 2.8207172909969813, 4.597885499999393, 4.900719083001604, 5.34547441599716, 5.581622915997286]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
9,4,8,3,7,1,5,2,6,3,9,1,6,2,7,0,"['9', '4', '8']","['9', '4', '8', '3']","['9', '4', '8', '3', '7']","['9', '4', '8', '3', '7', '1']","['9', '4', '8', '3', '7', '1', '5']","['9', '4', '8', '3', '7', '1', '5', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2', '7']",None,,,,,0,12,12,12,,,,,,4383745,,,,,,7,"['4', '3', '8', '3', '7', '4', '5']",0,"[8.017107500003476, 8.159757749999699, 8.799630292000074, 9.11249625000346, 11.18336933300452, 13.17389795800409, 13.345328958006576, 13.848859375000757]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
1,5,9,4,7,3,8,2,6,2,7,3,6,1,5,8,"['1', '5', '9']","['1', '5', '9', '4']","['1', '5', '9', '4', '7']","['1', '5', '9', '4', '7', '3']","['1', '5', '9', '4', '7', '3', '8']","['1', '5', '9', '4', '7', '3', '8', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5', '8']",,,,,0,13,13,13,,,,,,159473,,,,,,6,"['1', '5', '9', '4', '7', '3']",0,"[0.9274379170019529, 1.5373491249993094, 2.292360291998193, 2.564938750001602, 3.1046274170003016, 3.25348487500014, 3.6773562090020278]",1,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,14,14,14,,,,,,1574938,,,,,,7,"['1', '5', '7', '4', '9', '3', '8']",0,"[1.1493833749991609, 1.7565497079995112, 3.7902601250025327, 3.929817666001327, 5.001643374998821, 5.1674028749985155, 5.717088457997306, 6.433751582997502]",0,,,,,,,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"['9', '5', '1']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,0,0,0,,951,,,,,,,,,,1,6.642857142857143,3,"['9', '5', '1']",0,"[1.001787333007087, 1.5391962910071015, 2.2057530830061296, 3.584239500007243]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
4,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,"['3', '7', '4']","['8', '3', '7', '4']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,1,1,1,,8374,,,,,,,,,,1,,4,"['8', '3', '7', '4']",0,"[4.531859458002145, 4.955094083001313, 8.892360541001835, 10.427208749999409, 10.88169950000156]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
2,6,1,7,3,0,0,0,0,0,0,0,0,0,0,0,"['1', '6', '2']","['7', '1', '6', '2']","['3', '7', '1', '6', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,2,2,2,,37162,,,,,,,,,,1,,5,"['3', '7', '1', '6', '2']",0,"[4.126367000004393, 4.838129417003074, 5.16664954200678, 5.950219292004476, 6.190337667001586, 6.970804375006992]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
6,1,5,9,4,8,0,0,0,0,0,0,0,0,0,0,"['5', '1', '6']","['9', '5', '1', '6']","['4', '9', '5', '1', '6']","['8', '4', '9', '5', '1', '6']",None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,3,3,3,,849516,,,,,,,,,,1,,6,"['8', '4', '9', '5', '1', '6']",0,"[1.2859390830053599, 1.6432020830034162, 3.0873399170013727, 3.582145167005365, 4.859472791998996, 5.06093916700047, 6.419633458004682]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
3,7,1,5,2,6,9,0,0,0,0,0,0,0,0,0,"['1', '7', '3']","['5', '1', '7', '3']","['2', '5', '1', '7', '3']","['6', '2', '5', '1', '7', '3']","['9', '6', '2', '5', '1', '7', '3']",None,None,None,None,None,None,None,None,None,,,,,,,,,0,4,4,4,,9625243,,,,,,,,,,0,,7,"['9', '6', '2', '5', '2', '4', '3']",0,"[1.654903500006185, 2.077760375002981, 2.633168125008524, 4.598293875002128, 4.9668391670056735, 6.621513875004894, 6.81474483400234, 7.451190959007363]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
9,3,6,2,5,8,4,1,0,0,0,0,0,0,0,0,"['6', '3', '9']","['2', '6', '3', '9']","['5', '2', '6', '3', '9']","['8', '5', '2', '6', '3', '9']","['4', '8', '5', '2', '6', '3', '9']","['1', '4', '8', '5', '2', '6', '3', '9']",None,None,None,None,None,None,None,None,,,,,,,,,0,5,5,5,,458928,,,,,,,,,,0,,7,"['4', '5', '8', '9', '2', '8']",0,"[1.5170439580033417, 3.06795529100782, 4.337192041006347, 4.576394666008127, 4.706052625006123, 4.891730916002416, 5.516241875004198]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
1,7,4,9,5,8,3,6,2,0,0,0,0,0,0,0,"['4', '7', '1']","['9', '4', '7', '1']","['5', '9', '4', '7', '1']","['8', '5', '9', '4', '7', '1']","['3', '8', '5', '9', '4', '7', '1']","['6', '3', '8', '5', '9', '4', '7', '1']","['2', '6', '3', '8', '5', '9', '4', '7', '1']",None,None,None,None,None,None,None,,,,,,,,,0,6,6,6,,859439,,,,,,,,,,0,,6,"['8', '5', '9', '4', '3', '9']",0,"[2.6297692919979454, 3.4884453330014367, 4.221999417000916, 4.8997614170002635, 24.08092066700192, 24.31285612499778, 25.418767582996225]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
8,2,6,3,7,1,4,9,5,2,0,0,0,0,0,0,"['6', '2', '8']","['3', '6', '2', '8']","['7', '3', '6', '2', '8']","['1', '7', '3', '6', '2', '8']","['4', '1', '7', '3', '6', '2', '8']","['9', '4', '1', '7', '3', '6', '2', '8']","['5', '9', '4', '1', '7', '3', '6', '2', '8']","['2', '5', '9', '4', '1', '7', '3', '6', '2', '8']",None,None,None,None,None,None,,,,,,,,,0,7,7,7,,173648,,,,,,,,,,0,,6,"['1', '7', '3', '6', '4', '8']",0,"[2.7215157079990604, 3.88265845800197, 14.443230292003136, 14.75023825000244, 16.42686195800343, 16.692677332997846, 17.717414708000433]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
3,8,1,9,6,2,5,8,4,7,1,0,0,0,0,0,"['1', '8', '3']","['9', '1', '8', '3']","['6', '9', '1', '8', '3']","['2', '6', '9', '1', '8', '3']","['5', '2', '6', '9', '1', '8', '3']","['8', '5', '2', '6', '9', '1', '8', '3']","['4', '8', '5', '2', '6', '9', '1', '8', '3']","['7', '4', '8', '5', '2', '6', '9', '1', '8', '3']","['1', '7', '4', '8', '5', '2', '6', '9', '1', '8', '3']",None,None,None,None,None,,,,,,,,,0,8,8,8,,68391,,,,,,,,,,0,,5,"['6', '8', '3', '9', '1']",0,"[2.0713995000041905, 4.158520208999107, 4.4990709999983665, 10.910190375005186, 11.061715625000943, 11.425293959000555]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
9,5,1,4,8,2,6,3,7,3,1,9,0,0,0,0,"['1', '5', '9']","['4', '1', '5', '9']","['8', '4', '1', '5', '9']","['2', '8', '4', '1', '5', '9']","['6', '2', '8', '4', '1', '5', '9']","['3', '6', '2', '8', '4', '1', '5', '9']","['7', '3', '6', '2', '8', '4', '1', '5', '9']","['3', '7', '3', '6', '2', '8', '4', '1', '5', '9']","['1', '3', '7', '3', '6', '2', '8', '4', '1', '5', '9']","['9', '1', '3', '7', '3', '6', '2', '8', '4', '1', '5', '9']",None,None,None,None,,,,,,,,,0,9,9,9,,84159,,,,,,,,,,1,,5,"['8', '4', '1', '5', '9']",0,"[1.7324086250009714, 2.0829440000015893, 2.362382333005371, 3.5931901250005467, 3.849733417002426, 4.453970542002935]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
5,8,4,1,9,2,7,3,6,2,8,1,6,0,0,0,"['4', '8', '5']","['1', '4', '8', '5']","['9', '1', '4', '8', '5']","['2', '9', '1', '4', '8', '5']","['7', '2', '9', '1', '4', '8', '5']","['3', '7', '2', '9', '1', '4', '8', '5']","['6', '3', '7', '2', '9', '1', '4', '8', '5']","['2', '6', '3', '7', '2', '9', '1', '4', '8', '5']","['8', '2', '6', '3', '7', '2', '9', '1', '4', '8', '5']","['1', '8', '2', '6', '3', '7', '2', '9', '1', '4', '8', '5']","['6', '1', '8', '2', '6', '3', '7', '2', '9', '1', '4', '8', '5']",None,None,None,,,,,,,,,0,10,10,10,,298475,,,,,,,,,,0,,6,"['2', '9', '8', '4', '7', '5']",0,"[1.622078792002867, 1.9660787920074654, 6.009523375003482, 6.321783958002925, 7.086315542001103, 7.385030000004917, 8.038609875002294]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
1,6,9,4,7,2,5,8,3,9,4,7,2,6,0,0,"['9', '6', '1']","['4', '9', '6', '1']","['7', '4', '9', '6', '1']","['2', '7', '4', '9', '6', '1']","['5', '2', '7', '4', '9', '6', '1']","['8', '5', '2', '7', '4', '9', '6', '1']","['3', '8', '5', '2', '7', '4', '9', '6', '1']","['9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['7', '4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['2', '7', '4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['6', '2', '7', '4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']",None,None,,,,,,,,,0,11,11,11,,274961,,,,,,,,,,1,,6,"['2', '7', '4', '9', '6', '1']",0,"[2.1499386670038803, 2.549459250003565, 4.21761887500179, 4.536080708006921, 5.231040833001316, 5.62793375000183, 8.639001208008267]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
2,7,4,9,1,6,3,8,5,9,4,1,7,2,8,0,"['4', '7', '2']","['9', '4', '7', '2']","['1', '9', '4', '7', '2']","['6', '1', '9', '4', '7', '2']","['3', '6', '1', '9', '4', '7', '2']","['8', '3', '6', '1', '9', '4', '7', '2']","['5', '8', '3', '6', '1', '9', '4', '7', '2']","['9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['7', '1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['2', '7', '1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['8', '2', '7', '1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']",None,,,,,,,,,0,12,12,12,,3612,,,,,,,,,,0,,7,"['3', '6', '1', '2']",0,"[15.46497220799938, 16.129347124995547, 16.25073620799958, 17.253687999997055, 18.204555374999472]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
7,1,4,8,2,6,3,9,5,8,5,9,1,4,7,2,"['4', '1', '7']","['8', '4', '1', '7']","['2', '8', '4', '1', '7']","['6', '2', '8', '4', '1', '7']","['3', '6', '2', '8', '4', '1', '7']","['9', '3', '6', '2', '8', '4', '1', '7']","['5', '9', '3', '6', '2', '8', '4', '1', '7']","['8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['4', '1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['7', '4', '1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['2', '7', '4', '1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']",,,,,,,,,0,13,13,13,,3628416,,,,,,,,,,0,,7,"['3', '6', '2', '8', '4', '1', '6']",0,"[7.94308045800426, 9.672755917003087, 10.31879037500039, 13.485988042004465, 13.679702542001905, 17.059432708003442, 17.293116667002323, 18.211771917005535]",,LARI2.1,001,2022-11-16_14h45.11.049,DS_Adapt1L,2022.2.4,59.79514172376467,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.066666666666667,,,,,,,
