stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
X,space,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,85.29921016700064,85.29921016700064,85.89956479200009,space,1,0.5021352910007408,87.29925025000011,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
X,space,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,87.99932137500036,87.99932137500036,88.59936687499976,space,1,0.5197352079994744,89.99939479200111,,,,,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.69983408299959,91.16610066700014,space,3.4174622080008703,,,,,,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1629551670012,94.1629551670012,94.46636495799976,space,1,0.5657871670009627,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.16646058300103,95.16646058300103,95.46666283299965,space,1,0.4428160409988777,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,M,none,,,,,,,0,2,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.16650362499968,96.16650362499968,96.46620512499976,space,0,0.2268887079990236,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.16627466700083,97.16627466700083,97.46613116700064,space,1,0.2155094999998255,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,4,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.16663049999988,98.16663049999988,98.46635829200022,space,1,0.395350666000013,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,5,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1664618750001,99.1664618750001,99.46669079200001,space,1,0.24136633299895038,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,6,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.16650808300074,100.16650808300074,100.46759037500124,space,1,0.2829091249986959,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
